order_id,product_id,category_id,state_id,size_id,payment_method_id,customer_type_id,quantity,discount_rate,purchase_date,sales,profit,customer_rating
O10000,P1007,C01,3,2,1,1,1,0.3,25-10-2024,37.989,13.01914149,2
O10001,P1004,C03,2,1,2,2,2,0,03-04-2023,108.54,42.89518999,3
O10002,P1005,C02,1,3,3,3,4,0.3,07-07-2024,151.956,41.79217503,1
O10003,P1007,C01,2,5,2,1,1,0.3,11-05-2024,37.989,8.682689816,2
O10004,P1003,C02,5,3,5,3,2,0.2,08-11-2022,86.832,37.90590791,2
O10005,P1005,C02,4,1,2,3,1,0,23-10-2022,54.27,13.51923595,2
O10006,P1005,C02,5,5,2,2,3,0,02-01-2023,162.81,74.99738941,1
O10007,P1007,C01,4,3,2,1,1,0.2,29-06-2023,43.416,18.72919979,3
O10008,P1002,C04,5,1,1,1,1,0.1,10-06-2025,48.843,16.19513209,5
O10009,P1003,C02,3,3,4,2,3,0.1,29-01-2025,146.529,59.78757631,4
O10010,P1007,C01,2,2,2,2,3,0,21-02-2024,162.81,79.36771986,1
O10011,P1003,C02,4,1,2,2,4,0.2,08-09-2023,173.664,71.46939731,1
O10012,P1003,C02,1,3,5,2,4,0.3,31-05-2025,151.956,34.72786369,1
O10013,P1005,C02,2,2,5,2,2,0.3,23-10-2023,75.978,34.01786178,5
O10014,P1004,C03,1,2,3,3,4,0,04-08-2023,217.08,58.8014877,4
O10015,P1003,C02,2,1,3,2,4,0.2,27-07-2024,173.664,49.20168531,4
O10016,P1006,C01,2,4,5,1,2,0,02-01-2025,108.54,50.81110754,2
O10017,P1005,C02,5,5,4,1,1,0,12-05-2023,54.27,21.77133909,2
O10018,P1002,C04,4,1,3,2,1,0.2,08-09-2024,43.416,19.24167221,3
O10019,P1004,C03,4,2,4,2,1,0,03-12-2023,54.27,26.7580919,1
O10020,P1006,C01,2,2,5,2,3,0.3,02-03-2023,113.967,51.06722201,3
O10021,P1006,C01,3,1,3,2,2,0.1,26-04-2023,97.686,42.93559716,1
O10022,P1002,C04,3,4,2,2,1,0.3,19-12-2022,37.989,17.10287292,4
O10023,P1004,C03,1,5,5,1,4,0.1,31-01-2025,195.372,92.3466468,3
O10024,P1005,C02,1,3,3,3,4,0.2,29-12-2022,173.664,59.41192366,4
O10025,P1001,C01,5,1,4,2,4,0,23-02-2025,217.08,87.52845505,2
O10026,P1004,C03,2,5,4,2,2,0.1,29-05-2025,97.686,22.22602586,4
O10027,P1002,C04,1,5,3,2,2,0.2,20-04-2025,86.832,38.53916404,5
O10028,P1006,C01,1,2,4,1,4,0.2,16-03-2025,173.664,55.42333926,3
O10029,P1005,C02,2,3,3,1,3,0.2,12-12-2022,130.248,29.93279886,1
O10030,P1004,C03,5,1,3,3,3,0.3,02-06-2024,113.967,55.37008111,4
O10031,P1001,C01,1,2,4,3,1,0.3,23-03-2025,37.989,13.11064055,3
O10032,P1001,C01,5,2,1,3,1,0.1,19-04-2025,48.843,17.81789496,1
O10033,P1003,C02,4,4,2,3,1,0.1,18-10-2024,48.843,10.81219993,3
O10034,P1003,C02,5,5,5,1,1,0.3,03-02-2025,37.989,11.42977201,3
